,1,2a,2b,3a,3b,4a,4b,5a,5b
Laia,"At full health, Sanctify heals for 35% of the health that would have healed you at your sides instead. ","Gain Purrification: Once used Block and Shield charges +5, on the next (3) Defense cards played, Dispel 2, Draw 1, Apply 3 Sanctify to a random monster.","Gain Excaliburn: Once used, Holy damage +2, Transform damage to Holy. When you play an Attack, apply 1 Burn, 1 Sanctify to a random monster. Suffer 4 Burn.","When you play a Warrior card, reduce the cost of the highest cost Healer card in your hand by 1 until discarded. When you play a Healer card, reduce the cost of the highest cost Warrior card in your hand by 1 until discarded. (4 times/turn) ","Zeal +2. Zeal on this hero increases all damage done by 1.5% per Burn charge, and loses 2 charges at the end of the turn instead of all charges","Gain Heavenly Protectioon: On use, The next Defense, for every Energy used, all heroes gain 6 Shield, 2 Zeal, and 1 Bless. Put Consecration in your hand. ","Gain Heavenly Justice: On use, the next Attack, for every Energy used: Deal 4 Holy damage, apply 1 Burn, 1 Sanctify, 1 Vulnerable to all monsters. Put Purge the Wicked into your hand. ",Sanctify +1. The bonus of Overflow is increased to 70% and removes the full health requirement,Burn +1. Burn on this hero heals 0.3 HP per charge instead of suffering damage. Zeal on this hero increases all damage done by 7% per charge
Magnus,"At the start of the combat gain 2 Reinforce. When you play a 0 cost Attack, Spell, or Defense, cast it again (1 time/turn).",Follow-up,Wolf Guard,"At the start of your turn, reduce the cost of the melee attack cards in your hand by 1","At the start of your turn, reduce the cost of the defense cards in your hand by 1","Gain a copy of Thunderclap: All damage +175%, the next attack deal 14 lightning apply 6 spark to all mosters","Gain a copy of Valiant Defender: Block charges +6, the next 7 defense a random hero gains 12 block 1 inspire 1 fortify",All damage +7 ,"Enegery regen +1, immune to fatigue"
Malukah,"When you apply ""Dark"" charges, heal the most damaged hero for that amount. -This heal does not gain bonuses-",Gain Yin Ritual as a card. Vitality charges +1. [When you apply Dark] All heroes gain 1 Regeneration. -Lasts 6 uses-,"Gain Yang Ritual as a card. Vitality charges +1. For every Regeneration charge you apply, apply 1 Dark to the highest HP monster.","When dealing damage with a Hit, apply 2 Dark. ","When you play a ""Healing Spell"" card that costs Energy, refund 1 Energy and grant 2 Regeneration to the most damaged hero. (3 times/turn) ",Gain Vaccine as a card. Heal received +2. [Every turn] Apply 8 Dark to all monsters. Gain 4 Regeneration and 2 Buffer.,Gain Love Enhancer as a card. [When you play a card] For every Energy used: All heroes gain 1 Vitality. -Lasts 1 turn-,All damage done +30% and Dark +1. ,"Regeneration +1, Vitality +1. When you play a ""Healing Spell"" card, Dispel 1 to all heroes"
Navalea,"When you are under 50% of your max HP, all damage done +30%. For every 1% of missing HP below 50%, gain an additional 4% to all damage done.","Blunt and Cold damage +3. Damage with hit, apply 1 Crack and 1 Chill. -Lasts 20 uses-","Dark charges +2, transform damage to Shadow. When you play a card, apply 2 Dark to a random monster -Lasts 12 uses- ","When you play a Warrior card, reduce the cost of the highest cost Mage card in your hand by 1 until discarded. When you play a Mage card, reduce the cost of the highest cost Warrior card in your hand by 1 until discarded. (4 times/turn)","Scourge +2 , Scourge on enemies also reduces all resistances by 5% per charge","All resistances +20%. When you die, resurrect with +3% HP and gain 2 Invulnerable and 1 Doom.","The next (2) Spell: For every Energy used, apply 1 Decay, 1 Scourge, and 2 Dark to all monsters. ",The bonus of Hatred is increased to: +60% to all damage done when below 50% of your Max HP and the bonus to all damage is instead +6% for every additional 1% of missing HP. ,Scourge on enemies can stack and spread 100% of the dark charges
Nenukil,"At the start of your turn, reduce the cost of the ""Ranged Attack"" cards in your hand by 2 until they are discarded. When you play a ""Ranged Attack"" card, you suffer ""Reloading"". -Reloading Charges do not stack. Unable to play ""Ranged Attack"" cards. Remove 1 charge at the end of the turn. Can't be dispelled or prevented.",Gain Extra Gunpowder: All damage +25% when you play a ranged attack Draw 2. -Lasts one turn-,"Gain Proximity Mines: Thorns charges +1, Damaged by others deal 8 fire and apply 4 burn -Lasts 2 uses-","When you play a ""Ranged Attack"" card, gain 2 Fury and 1 Fast. You suffer ""Reloading"" after playing 2 ""Ranged Attack"" cards instead of 1.","When you play a ""Defense"" card that costs energy, put a 'Blast!' card in your hand.","Gain Fast and Furious: Speed +2, Fast and Fury charges +1, the next 6 melee attack Gain 1 Fast and 1 Fury","Gain Repair Kit: Block charges +8, the next 6 defense a random hero recovers +15% HP, and a random hero gains 8 block 6 regenerate and 1 reinforce",All damage done +20%. Immune to Slow. Fast on this hero increases all damage done by 1 per charge.,"When you play a ""Defense"" card that costs energy, refund 1 energy and gain 1 Fortify. (2 times/turn)"
Nevermoor,"When you play a card, for every 2 energy spent, gain a rune:
Damaging = Red Rune

Defenses = Blue Rune

Healing Spells = Green Rune ",Obsidian Imprint,Death's Caress,"Mark +1 per charge.

In addition to this, upon reaching 2 charges, damaging an enemy applies Mark on them.

Upon reaching 3 charges, damaging an enemy also applies Mark on target sides.

Maximum charges 3. Can't be purged unless specified. ","Rune Green

Heal done +2 per charge.

In addition to this, upon reaching 2 charges, heal done grants 2 Vitality.

Upon reaching 3 charges, heal done grants 2 Vitality to all allies.

Maximum charges 3. Can't be purged unless specified. ",Cataclysm,Dark Succor,"Mark +1. Mark on enemies now leads to +2 damage per charge.

At 3 Blue runes, reduce the cost of Skill cards in your hand by 1 until they are discarded. ","When Nevermoor applies Reinforce or Courage, all Heroes gain 1 Infuse (3 times/turn).

At 3 Blue runes, reduce the cost of Defense cards in your hand by 1 until they are discarded. "
Nezglekt,"At the end of your turn, apply 1 Insane to all monsters and heal all heroes for 20% of all the Insane and 10% of all the Sight charges in play. -This heal does not gain bonuses- ",Gain Night Terror as a card. All resistances -20%. [Damaged by others] Suffer 4 Insane and 3 Dark. -Lasts 7 uses-,Gain Chilling Gaze as a card. Chill and Sight charges +1. [Damage with hit] Deal 12 Cold damage and apply 3 Chill and 1 Sight. -Lasts 1 turn-,"""Mental Leech"" is activated twice at the end of your turn","When you play a ""Skill"" card that costs Energy, refund 1 Energy and apply 1 Sight to all enemy. (3 times/turn) ","Gain The Chosen One as a card. Insane charges +1. [The next (4) Spell] Apply 3 Insane, 2 Sight, and 1 Vulnerable to all monsters. Gain 3 Powerful and 3 Insane.",Gain Fated Future as a card. [Every turn] Reduce the cost of the highest cost card in your hand by 10 until discarded. -Lasts 2 uses-,"Upon pickup, add a ""Friendly Tadpole"" boon card inte each hero deck. Friendly Tadpole: Draw 1 card, Gain 1 Energy, 1 Energize, and 3 Vitality. Suffer 6 Insane and Heal 25. ","Sight +3, Inspire +1 and Buffer +1"
Nyrada,"After an enemy is summoned in combat, apply Expose to them. When you play a card that costs 3 or more Energy, apply Expose to 1 random non-boss enemy. All heroes deal 50% extra damage to Exposed enemies. When a summon or Exposed enemy dies, gain 1 Energy. ",Purifying Resonance,Cursed Mirror,"Dark +2. When Dark Explodes on an enemy, heal the most damaged hero for half the damage done.
-This heal does not gain bonuses- ","When you play a ""Spell"" card, reduce the cost of the highest cost ""Spell"" card in your hand by 3 until discarded. (1 time/turn) ",Dream Harmony,Nightmare Storm,"The first Spell you play each turn applies 1 Sleep to all targeted enemies. After playing your first Spell, the rest of your Spells cost 1 less this turn. When Sleep is removed from an enemy before their turn starts, they suffer 10 Shadow damage.","When you apply Dark to an enemy with a card, apply 1 extra. When you apply Sight to an enemy with a card, apply 2 extra. When you cause Dark to Explode on an enemy, deal Shadow damage to the target equal to the number of Dark charges.
-This damage is not affected by modifiers- "
Ottis,"When you apply ""Shield"" charges, heal for 30% of that amount. -This heal does not gain bonuses- ",Gain Praise the Sun as a card. Burn and Sanctify charges +1. [Damage with hit] Deal 12 Fire damage and apply 2 Burn and 1 Sanctify. -Lasts 1 turn-,Gain Unwavering Faith as a card. Shield charges +5. [When you apply Shield] Apply 2 Courage and 1 Vitality.,Sanctify +3. ,"At the start of your turn, reduce the cost of the ""Defense"" cards in your hand by 1 until they are discarded. ","Gain Solar Flare as a card. [The next Spell] For every Energy used: Draw 1 card, deal 8 Fire damage, and apply 4 Burn and 2 Sanctify to all monsters.",Gain Double Bubble as a card. [The next Defense] Gain 16 Shield. Put a copy of it into your hand (cost 0 and vanish),"When you play a ""Holy Spell"" card, reduce the cost of the highest ""Holy Spell"" card in your hand by 3 until discarded. (2 times/turn) ","When you play a ""Defense"" card, apply 6 Shield to all heroes."
Reginald,"At the start of your turn, gain 1 Bless. ","Gain Divine Retribution as a card. [Damaged by others] Deal 14 Holy damage, gain 1 Bless. -Lasts 4 uses-",Gain Focus Heal as a card. [The next Healing Spell] Heal done +150%,"When you play a ""Holy Spell"" card, add a randomly upgraded ""Holy Smite"" card with cost 0 and vanish into your hand. (1 time/turn) ","When you play a ""Healing Spell"" card that costs Energy, refund 1 Energy and grant 1 Bless to the most damaged hero. (3 times/turn)",Gain Holy Crusader as a card. [The next (4) Holy Spell] Deal 8 Holy damage. Apply 3 Sanctify to all monsters and gain 1 Bless.,Gain Holy Symbol as a card. All resistances +15%. Heal received +30%. [Damaged by others <25%] Recover +20% HP and gain 1 Invulnerable. -Lasts 1 use-,"When you play a ""Holy Spell"" card, reduce the cost of the highest ""Holy Spell"" card in your hand by 3 until discarded. (2 times/turn) ","Heal done +30%, heal received +10% and Bless +1. "
Sigrun,At the start of your turn gain 1 Powerful. With Stanza II gain 2 Powerful. With Stanza III gain 3 Powerful. ,Storm Channeler,Magic Rune,"When you play a Scout card, reduce the highest cost Mage card in your hand by 1 until discarded. When you play a Mage card, reduce the highest cost Scout card in your hand by 1 until discarded. (3 times/turn) ","When you play a ""Song"" card, put a Fire, Cold, or Lightning random Spell card of the same cost +1 in your hand with a cost 0 and Vanish. (1 times/turn) ",Thor's Might,Odin's Wisdom,Powerful +1. Powerful on Heroes have a +8 max. charges. Scout Duality can be activated 4 times/turn.,"Gain the ""Spell Singer"" trait. If you already had it, then it can be activated twice per turn and the base cost of the free spell given is increased by +2 with Stanza II and by +3 with Stanza III."
Sylvie, Sight on enemies also reduces their Piercing resistance by 0.5% per charge. ,"Gain Target Shooting as a card. Pierce resistance -20% [Damaged by others] Suffer 3 Sight, 1 Mark, and 1 Vulnerable -Lasts 7 uses-","Gain Elven Agility as a card. Pierce damage +2. [The next (2) Ranged attack] For every Energy used: Draw 1 card, gain 1 Fast, and 1 Sharp.","When dealing damage with a Hit, apply 2 Sight and 1 Bleed. ","At the start of your turn, reduce the cost of the ""Ranged Attack"" cards in your hand by 1 until they are discarded. ","Gain Hawkeye as a card. Sight charges +2. For every Sight charge you apply, apply 2 Bleed. -Lasts 32 uses-",Gain Double Shot as a card. [The next Ranged Attack] Gain 4 Sharp. Put a copy of it into your hand (Cost 0 and Vanish),"Upon pickup, replaces your pet slot with ""Harley"" corrupted version.","Sharp +2. Your ""Ranged Attacks"" ignore Block. "
Thuls,At the start of the combat gain 2 Stealth. ,Gain Black Talons as a card. Poison and Dark charges +2. [Damage with hit] Deal 12 Shadow damage and apply 1 Dark. -Lasts 1 turn-,Gain Subterfuge as a card. Stealth charges +2. [Damaged by others] Gain 1 Stealth and 3 Fast. -Lasts 4 uses-,"When dealing damage with a Hit, apply 3 Poison. ","When you play a ""Melee Attack"" card that costs Energy, refund 1 Energy and gain 1 Powerful. (3 times/turn) ","Gain Hidden Hand as a card. If you play a card that leaves your hand empty: Draw 5 cards, gain 3 Energy, and gain 10 Powerful. -Lasts 1 use-",Gain Deadly Strikes as a card. All damage +3. [Damage with hit] Apply 2 Vulnerable and 3 Decay. -Lasts 24 uses-,"When you play a ""Small Weapon"" card, put a random ""Small Weapon"" card in your hand with cost 0 and vanish. (2 times/turn) ","When you play a ""Skill"" or ""Enchantment"" card, you don't lose Stealth. (2 times/turn) "
Tulah,"At the start of the combat, Shuffle 1 ""Spiderling"" card into each hero deck. ",Holy Hatchery,Premature Hatching,"Sanctify +1. Replace the ""Spiderling"" cards of Broodmother for ""Temple Lurker"" cards. Upon picking up, if you have the ""Cocoon"" or ""Lianty"" pet, replace it for the ""Temple Lurker"" pet.","Insane +1. Replace the ""Spiderling"" cards of Broodmother for ""Mental Scavengers"" cards. Upon picking up, if you have the ""Cocoon"" or ""Lianty"" pet, replace it for the ""Mental Scavengers"" pet.",Cleansing Prayer,Pendulum,"Upgrade ""Temple Lurker"" cards and ""Mental Scavengers"" cards into their corrupted versions. Upon picking up, if you have the ""Temple Lurker"" or the ""Mental Scavenger"" pet, corrupt it. ","At the start of your turn, apply 6 Insane, 6 Poison, and 1 Shackle to all enemies. Shackle on enemies is removed at the end of the turn and reduces damage done by 30%. When Shackle on enemies is removed, they suffer 2 Slow"
Velarion,"When you apply Bleed on enemies, apply 1 Leech.",Bleeding Blight,Life Surge,Bleed +1. Bleed on enemies also leads to -0.5% Fire resistance/charge. Applying Bleed on enemies also applies 1 Burn and 1 dark to target's sides (2 times/turn). ,Leech +1. Leech explosion's Heal is increased by 50% and additionally grants 1 Regeneration to all heroes.,Blood Bargain,Forbidden Feast,"When Leech explodes on enemies, grant 1 Energize to all heroes. ","When Leech explodes on enemies, grant 1 Vitality and 1 Inspire to all heroes."
Wilbur,"At the start of your turn, grant 1 Energize to a random hero. ","Gain Circuit Overload as a card. Spark charges +3. [When you play a card] For every Energy used, apply 1 Spark to all monster.",Gain Skillful as a card. [The next (4) Skill] Draw 1 card and gain 3 Powerful and 2 Fast,Spark +1. Spark on enemies also damages the enemy with the spark charges,"When you play a ""Book"" card, reduce the cost of the highest cost card in your hand by 1. (2 times/turn) ",Gain Tesla Coil as a card. [When you apply Energize] Deal 13 Lightning Damage and apply 3 Spark to the highest HP monster. -Lasts 10 uses-,Gain Transcribe as a card. [The next Book] Gain 2 Inspire. Put a copy of it into your hand (cost 0 and vanish),Spark +1. All damage done +30%.,Energize +1
Yogger,"When an enemy dies, shuffle one of these cards: Premium Meat, ""Meat"", or ""Spoiled Meat"" into Yogger's deck.","Add the Pillage card to Yogger's Deck. -Once used, the next (2) Attack, Gain 2 Powerful and 1 Vitality, put Rob into your hand and reduce the cost of the highest cost Attack in your hand by 1.","Add the Sausage Factory card to Yogger's Deck. -Once used, on the next (2) Skills, put Blood Sausage into your hand and reduce the cost of the highest cost Skill in your hand by 1.",Gain +1% to All damage done for every 3 HP above 100 HP you have. ,"At the start of your turn, shuffle one of these cards: ""Premium Meat"", ""Meat"", or ""Spoiled Meat"" into each hero deck. ","Add the Feed the Rich card to Yogger's Deck. -Once used, with the next Food card recover +25% HP and put Gorge into your hand.","Add Give to the Poor to Yogger's Deck. -Once used, Vitality charges +1 and on the next (4) Food cards, all heros gain 10 Block, 10 Shield, and 4 Regeneration. ","When you play a ""Food"" card, Gain 1 Energy and 2 Vitality. (2 times/turn) ","The talent ""Butcher"" always guarantees ""Gourmet Meat"". In the talent ""Dinner is Ready"", ""Spoiled Meat"" is replaced by ""Gourmet Meat"". "
Zek,"At the start of your turn, suffer 1 Dark and apply 1 Dark to all enemies. ",Gain Cursemancy as a card. [The next (3) Curse Spell] Apply 3 Dark to all monsters. Reduce the cost of the highest cost Curse Spell in your hand by 1. ,"Gain Soul Harvest as a card. [The next (3) Spell] Draw 1 card, deal 10 Cold damage, apply 3 Chill, and 2 Dark to the highest HP monster. Suffer 1 Dark.",Dark +2. Dark on enemies reduces Shadow resistance by an additional 1% per charge,"At the start of your turn, for every 8 Dark you have, reduce the cost of the cards in your hand by 1 until they are discarded. ","Gain Infestation as a card. [The next 6 Curse Spell] Put Plague Rat into your hand. Plague Rat - Draw 1 card, transfer 1 Curse, deal 4 Shadow damage and apply 2 Dark and 2 Poison. ","Gain Death's Embrace as a card. Cold damage +3. Chill charges +1. Transform damage to Cold. For every Dark charge you apply, apply 2 Chill. -Lasts 34 uses-",Dark +2. Dark on enemies reduces Shadow resistance by an additional 1% per charge,All damage done +30%. Heal yourself for 30% of the damage done.
